Id,output
1,26.789999999999996
2,14.908333333333333
3,33.20555555555555
4,40.736666666666665
5,15.751000000000001
6,16.111666666666668
7,17.715000000000003
8,35.062
9,34.135
10,28.606666666666666
11,36.63777777777778
12,15.751000000000001
13,17.640000000000004
14,35.062
15,14.498333333333333
16,40.82099999999999
17,13.871666666666668
18,35.062
19,21.89777777777778
20,17.640000000000004
21,30.569
22,38.145
23,40.693333333333335
24,20.984
25,27.83888888888889
26,26.68166666666667
27,34.10699999999999
28,12.493333333333334
29,19.853333333333335
30,31.149999999999995
31,16.608888888888888
32,11.443333333333333
33,26.789999999999996
34,12.282222222222222
35,35.062
36,40.82099999999999
37,18.322
38,16.584444444444443
39,16.111666666666668
40,17.640000000000004
41,18.322
42,29.98
43,14.498333333333333
44,16.406666666666666
45,38.35
46,40.736666666666665
47,18.322
48,43.51222222222222
49,20.984
50,26.849999999999998
51,14.718333333333334
52,28.258888888888887
53,28.05333333333333
54,15.432500000000001
55,28.05333333333333
56,17.715000000000003
57,31.868333333333336
58,31.149999999999995
59,28.05333333333333
60,30.569
61,15.432500000000001
62,34.74166666666667
63,38.35
64,19.931666666666665
65,34.135
66,22.971666666666664
67,40.82099999999999
68,16.584444444444443
69,45.01777777777777
70,28.05333333333333
71,36.264444444444436
72,15.751000000000001
73,31.149999999999995
74,17.715000000000003
75,14.393333333333333
76,39.285
77,33.20555555555555
78,30.53
79,40.82099999999999
80,26.849999999999998
81,14.908333333333333
82,14.752
83,27.83888888888889
84,17.715000000000003
85,16.581666666666667
86,28.258888888888887
87,20.984
88,42.35666666666667
89,21.99
90,17.59222222222222
91,28.05333333333333
92,43.51222222222222
93,16.183333333333334
94,17.59222222222222
95,15.266
96,31.149999999999995
97,32.094
98,14.752
99,37.94222222222222
100,24.10666666666667
101,15.226666666666667
102,18.322
103,15.482222222222223
104,40.82099999999999
105,15.266
106,34.10699999999999
107,26.849999999999998
108,28.258888888888887
109,32.094
110,22.971666666666664
111,15.482222222222223
112,40.693333333333335
113,14.752
114,39.68333333333334
115,31.868333333333336
116,14.718333333333334
117,15.751000000000001
118,16.406666666666666
119,15.266
120,36.264444444444436
121,37.94222222222222
122,16.581666666666667
123,19.853333333333335
124,15.482222222222223
125,45.01777777777777
126,14.455
127,17.715000000000003
128,15.266
129,17.715000000000003
130,13.871666666666668
131,27.83888888888889
132,17.59222222222222
133,14.002222222222223
134,37.94222222222222
135,14.455
136,34.135
137,14.371666666666668
138,15.266
139,14.393333333333333
140,21.89777777777778
141,14.393333333333333
142,30.569
143,14.752
144,14.002222222222223
145,35.062
146,15.432500000000001
147,15.432500000000001
148,17.640000000000004
149,42.35666666666667
150,12.282222222222222
151,39.68333333333334
152,33.20555555555555
153,31.149999999999995
154,28.05333333333333
155,36.63777777777778
156,34.74166666666667
157,34.135
158,38.145
159,19.853333333333335
160,15.751000000000001
161,21.89777777777778
162,15.226666666666667
163,17.27
164,16.608888888888888
165,34.135
166,19.931666666666665
167,26.68166666666667
168,20.984
169,17.640000000000004
170,34.10699999999999
171,45.01777777777777
172,14.371666666666668
173,14.002222222222223
174,29.98
175,32.094
176,12.282222222222222
177,14.752
178,30.569
179,16.584444444444443
180,20.984
181,36.264444444444436
182,39.285
183,32.094
184,34.10699999999999
185,32.094
186,16.406666666666666
187,34.10699999999999
188,36.63777777777778
189,43.51222222222222
190,16.608888888888888
191,18.322
192,30.569
